sentence_id,book,parution,start_pdf_page,end_pdf_page,text,mot_detecte
3,,,1,5,Collection dirigée par Bénédicte Lombardo,Bénédicte
3,,,1,5,Collection dirigée par Bénédicte Lombardo,Lombardo
6,,,1,5,La ballade de Pern Intégrale,Intégrale
7,,,1,5,"Traduction de l’américain par Simone Hilling LA ’, por ete Me2 ges #1À Æ Tor dee",Simone
7,,,1,5,"Traduction de l’américain par Simone Hilling LA ’, por ete Me2 ges #1À Æ Tor dee",Hilling
7,,,1,5,"Traduction de l’américain par Simone Hilling LA ’, por ete Me2 ges #1À Æ Tor dee",Tor
8,,,1,5,Gifra e Moy de Benden Fort de Fort «‘de Nerat —,Moy
13,,,6,8,Collection dirigée par Bénédicte Lombardo,Bénédicte
13,,,6,8,Collection dirigée par Bénédicte Lombardo,Lombardo
16,,,6,8,La Ballade de Pern,Ballade
18,1.0,1988.0,6,8,Traduction de l’américain par Simone Hilling Première partie,Simone
18,1.0,1988.0,6,8,Traduction de l’américain par Simone Hilling Première partie,Hilling
18,1.0,1988.0,6,8,Traduction de l’américain par Simone Hilling Première partie,Première
21,1.0,1988.0,6,8,"— Sur l’écran, s’il vous plaît, Mistress Telgar, répliqua l’amiral Benden.",Mistress
25,1.0,1988.0,6,8,"L’Expédition Coloniale de Pern avait atteint le moment le plus exaltant de son voyage commencé quinze ans plus tôt : les trois vaisseaux de la colonie, le Yokohama, le Bahrain et le Buenos Aires, approchaient enfin de leur destination.",Coloniale
25,1.0,1988.0,6,8,"L’Expédition Coloniale de Pern avait atteint le moment le plus exaltant de son voyage commencé quinze ans plus tôt : les trois vaisseaux de la colonie, le Yokohama, le Bahrain et le Buenos Aires, approchaient enfin de leur destination.",Yokohama
25,1.0,1988.0,6,8,"L’Expédition Coloniale de Pern avait atteint le moment le plus exaltant de son voyage commencé quinze ans plus tôt : les trois vaisseaux de la colonie, le Yokohama, le Bahrain et le Buenos Aires, approchaient enfin de leur destination.",Bahrain
