sentence_id,book,part,chapter,pdf_page,start_pdf_page,end_pdf_page,text,mot_detecte
3,La Ballade de Pern,,,4,4,8,Collection dirigée par Bénédicte Lombardo ANNE,Bénédicte
3,La Ballade de Pern,,,4,4,8,Collection dirigée par Bénédicte Lombardo ANNE,Lombardo
5,La Ballade de Pern,,,4,4,8,La ballade de Pern Intégrale,Intégrale
6,La Ballade de Pern,,,4,4,8,Traduction de l'américain par Simone Hilling,Simone
6,La Ballade de Pern,,,4,4,8,Traduction de l'américain par Simone Hilling,Hilling
9,La Ballade de Pern,,,4,4,8,Collection dirigée par Bénédicte Lombardo ANNE,Bénédicte
9,La Ballade de Pern,,,4,4,8,Collection dirigée par Bénédicte Lombardo ANNE,Lombardo
11,La Ballade de Pern,,,4,4,8,La Ballade de Pern,Ballade
14,La Ballade de Pern,,,4,4,8,Traduction de l'américain par Simone Hilling Première partie TERMINUS,Simone
14,La Ballade de Pern,,,4,4,8,Traduction de l'américain par Simone Hilling Première partie TERMINUS,Hilling
14,La Ballade de Pern,,,4,4,8,Traduction de l'américain par Simone Hilling Première partie TERMINUS,Première
15,La Ballade de Pern,,,4,4,8,"— Les rapports de la sonde commencent à arriver, amiral, annonça Sallah Telgar, sans détourner les yeux des points lumineux scintillant sur son terminal.",Telgar
16,La Ballade de Pern,,,4,4,8,"— Sur l'écran, s'il vous plaît, Mistress Telgar, répliqua l'amiral Benden.",Mistress
16,La Ballade de Pern,,,4,4,8,"— Sur l'écran, s'il vous plaît, Mistress Telgar, répliqua l'amiral Benden.",Telgar
18,La Ballade de Pern,,,4,4,8,"L'Expédition Coloniale de Pern avait atteint le moment le plus exaltant de son voyage commencé quinze ans plus tôt : les trois vaisseaux de la colonie, le Yokohama, le Bahrain et le Buenos Aires, approchaient enfin de leur destination.",Coloniale
18,La Ballade de Pern,,,4,4,8,"L'Expédition Coloniale de Pern avait atteint le moment le plus exaltant de son voyage commencé quinze ans plus tôt : les trois vaisseaux de la colonie, le Yokohama, le Bahrain et le Buenos Aires, approchaient enfin de leur destination.",Yokohama
18,La Ballade de Pern,,,4,4,8,"L'Expédition Coloniale de Pern avait atteint le moment le plus exaltant de son voyage commencé quinze ans plus tôt : les trois vaisseaux de la colonie, le Yokohama, le Bahrain et le Buenos Aires, approchaient enfin de leur destination.",Bahrain
